Model,Variant,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BMW 1 Series,Convertible,24803,19835,16286,13010,,,,,,,,,,,
BMW 1 Series,Coupé,26191,24357,20015,12417,,,,,,,,,,,
BMW 1 Series,Five-door,113030,111898,176066,157163,,,,,,,,,,,
BMW 1 Series,Three-door,31980,20328,14462,31021,,,,,,,,,,,
BMW 1 Series,none,,,,,190033,182158,176032,201968,199980,173870,164056,,,,
BMW 1 Series / BMW 2 Series,none,,,,,,,,,,,,265964,205971,225827,198226
BMW 2 Series,none,,,,,41038,157144,196183,181113,152215,115184,104859,,,,
BMW 3 Series,Convertible,35812,32799,24038,17418,,,,,,,,,,,
BMW 3 Series,Coupé,46358,39332,29525,15240,,,,,,,,,,,
BMW 3 Series,Gran Turismo,,,,22941,,,,,,,,,,,
BMW 3 Series,Sedan,242831,240279,294045,348560,,,,,,,,,,,
BMW 3 Series,Touring,74008,72054,59144,96173,,,,,,,,,,,
BMW 3 Series,none,,,,,480214,444338,411844,409005,366475,359211,381416,,,,
BMW 3 Series / BMW 4 Series,none,,,,,,,,,,,,490969,478932,558462,519228
BMW 4 Series,none,,,,14763,119580,152390,133272,131688,109887,74238,38879,,,,
BMW 5 Series,Gran Turismo,26486,22451,21087,20295,,,,,,,,,,,
BMW 5 Series,Sedan,179680,248835,280504,295877,,,,,,,,,,,
BMW 5 Series,Touring,32288,61215,57425,50820,,,,,,,,,,,
BMW 5 Series,none,,,,,373053,347096,331410,347313,382753,353268,302564,,,,
BMW 5 Series / BMW 6 Series,none,,,,,,,,,,,,326212,315590,273877,250674
BMW 6 Series,Convertible,2798,6459,7880,5496,,,,,,,,,,,
BMW 6 Series,Coupé,3050,2937,8480,6278,,,,,,,,,,,
BMW 6 Series,Gran Coupé,,,6833,15913,,,,,,,,,,,
BMW 6 Series,none,,,,,23988,20962,13400,11052,26606,25181,19893,,,,
BMW 7 Series,none,65814,68774,59184,56001,48519,36364,61514,64311,56037,50552,46025,,,,
BMW 7 Series / BMW 8 Series,none,,,,,,,,,,,,62628,48708,59763,56542
BMW 8 Series,none,,,,,,,,,923,12219,20703,,,,
BMW X1,none,99990,126429,147776,161353,156471,120011,220378,286743,286827,266124,230041,,,,
BMW X1 / X2,none,,,,,,,,,,,,311928,242189,318051,413386
BMW X2,none,,,,,,,,,67576,91812,74229,,,,
BMW X3,none,46004,117944,149853,157303,150915,137810,157017,146395,201637,316883,292328,,,,
BMW X3 / X4,none,,,,,,,,,,,,414671,400898,405562,370198
BMW X4,none,,,,,21688,55050,58055,52167,45950,61598,55237,,,,
BMW X5,none,102178,104827,108544,107231,147381,168143,166219,180905,155575,165537,168674,,,,
BMW X5 / X6,none,,,,,,,,,,,,240504,277057,280684,275318
BMW X6,none,46404,40822,43689,36688,30244,46305,43323,40531,35040,22116,38100,,,,
BMW X7,none,,,,,,,,,,39924,48693,54957,57905,61117,59949
BMW XM,none,,,,,,,,,,,,,,6749,7813
BMW Z4,none,24575,18809,15249,12866,10802,7950,5432,1416,,15827,14982,14778,12029,10957,10482
BMW i,none,,,,,17793,29513,29280,33676,37545,42249,,,,,
BMW i (i3 & i8),none,,,,,,,,,,,28162,,,,
"BMW i (iX, i3, i8)",none,,,,,,,,,,,,31179,,,
BMW i3,none,,,,311,,,,,,,,,,,
BMW i3 / i8,none,,,,,,,,,,,,,22280,755,36
BMW iX,none,,,,,,,,,,,,,39130,50989,38365
,,,,,,,,,,,,,,,,
